SBAN;SEDE;MUNICIPIO;REGIONAL;DPTO;Direccion;HORARIO;ATENCION;;;;;;;;
1547;NUEVO COLON;Nuevo Colón;ORIENTE;Boyacá;Calle 3 N° 4-13/17;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8648;SABANALARGA;Sabanalarga;ORIENTE;Casanare;Calle 5 No.7-10;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5170;TIBU;Tibú;SANTANDERES;Norte de Santander;CALLE 5 N° 5-11 Barrio Miraflores;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6042;SAN GIL;San Gil;SANTANDERES;Santander;Calle 12 No. 9-77 San Gil;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1401;CONCEPCION;Concepción;ANTIOQUIA;Antioquia;Calle 20 No. 21-27;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
20;BOGOTA CENTRO DE PAGOS, RECAUDOS Y DEPOSITOS JUDICIALES CHAPINERO;Bogotá, D.C.;BOGOTA;Bogotá D.C;Carrera 13 No. 62 - 09;LUNES A VIERNES;8:00 AM A 3:30 P.M.;;;;;;;;
1510;CUBARA;Cubará;BOGOTA;Boyacá;CALLE 4 No.4-56/2-21;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3105;VILLAGOMEZ;Villagómez;BOGOTA;Cundinamarca;Calle 5 No. 3-47;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3142;LA MESA;La Mesa;BOGOTA;Cundinamarca;Calle 8 No. 18 - 17;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
4532;SAN JUAN DE ARAMA;San Juan De Arama;BOGOTA;Meta;Carrera 9 No.11-25;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4550;VISTAHERMOSA;Vistahermosa;BOGOTA;Meta;Calle 9 No.11-37 Calle 9 No. 2-77;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7310;CRAVO NORTE;Cravo Norte;BOGOTA;Arauca;CALLE 3 No. 4-51;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1218;MARIA LA BAJA;María La Baja;COSTA;Bolívar;Calle 19 No.12-36;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2422;CHIRIGUANA;Chiriguaná;COSTA;Cesar;Calle 8 No 2-148;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3630;MAICAO;Maicao;COSTA;La Guajira;CALLE 12 Nº. 9-12/12/16/18;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1506;BOAVITA;Boavita;ORIENTE;Boyacá;Cra.7 Calle 5 Local 107 Edificio del Gobierno Municipal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1577;SOCOTA;Socotá;ORIENTE;Boyacá;Carrera 3 No. 3 -17;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1589;TURMEQUE;Turmequé;ORIENTE;Boyacá;CARRERA 4 No 1A-36;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6060;LA PAZ;La Paz;ORIENTE;Santander;CRA. 4 N° 3-01;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8660;TAMARA;Támara;ORIENTE;Casanare;CARRERA 6 No. 5-13 - Calle 25 No. 28-40 Inf.7;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6032;MALAGA;Málaga;SANTANDERES;Santander;CRA. 9 No.15-09/19/25;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6044;SOCORRO;Socorro;SANTANDERES;Santander;CRA. 14 N° 15-16;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1374;CARMEN DE VIBORAL;El Carmen De Viboral;ANTIOQUIA;Antioquia;Carrera 30 No.31-64;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
3124;EL COLEGIO;El Colegio;BOGOTA;Cundinamarca;Carrera 6 No. 9 – 50 / 58;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3158;SAN FRANCISCO;San Francisco;BOGOTA;Cundinamarca;Carrera. 6 No. 3-09;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4518;LEJANIAS;Lejanías;BOGOTA;Meta;Carrera 14 No.7-02 Barrio Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7315;FORTUL;Fortul;BOGOTA;Arauca;CALLE 7 No. 23-17;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1215;ARJONA;Arjona;COSTA;Bolívar;Carrera 41 No. 44 -89 Calle del Coco;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2427;EL COPEY;El Copey;COSTA;Cesar;Calle 8 No.15-06 Local 1 Barrio Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2455;PAILITAS - CESAR;Pailitas;COSTA;Cesar;Carrera 6 No. 5 – 40;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3620;MANAURE;Manaure;COSTA;La Guajira;Calle 3 No. 3-36 Barrio Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1532;GAMEZA;Gameza;ORIENTE;Boyacá;CARRERA 4 No. 3-05;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1576;SOATA;Soatá;ORIENTE;Boyacá;CARRERA 4 No. 9 - 56;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
8623;NUNCHIA;Nunchía;ORIENTE;Casanare;Calle 7 No. 5 – 91;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5150;SARDINATA;Sardinata;SANTANDERES;Norte de Santander;Carrera 6 N° 5-27 Centro;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
6039;CONCEPCION;Concepción;SANTANDERES;Santander;CRA. 4 N° 6-67;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6072;SIMACOTA;Simacota;SANTANDERES;Santander;Cra. 5 No.5-56 Barrio el Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6651;FRESNO;Fresno;SUR;Tolima;Calle 3 No. 6 - 26;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
3106;ANAPOIMA;Anapoima;BOGOTA;Cundinamarca;Calle 8 No. 2-14;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3145;LA VEGA;La Vega;BOGOTA;Cundinamarca;Carrera .2 No.18-148;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7370;TAME;Tame;BOGOTA;Arauca;Carrera 15 No. 15-52/64;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1207;CARTAGENA;Cartagena;COSTA;Bolívar;Calle del Arsenal - Calle 24 No. 8B-165 Barrio Getsemani - Oficina y el Centro de Pagos y la Unidad de Depósitos Judiciales en la Calle Larga, Calle 25 No. 8B-162 Barrio Getsemani.;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2402;ASTREA;Astrea;COSTA;Cesar;CALLE 7 Nº. 3-03;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2414;BOSCONIA;Bosconia;COSTA;Cesar;CALLE 18 Nº.19-67;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3603;RIOHACHA;Riohacha;COSTA;La Guajira;Calle 2 Nº. 6-67/69;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1536;GUATEQUE;Guateque;ORIENTE;Boyacá;Cra. 7 No. 10 - 05;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1586;TIPACOQUE;Tipacoque;ORIENTE;Boyacá;Calle 8 No.3-47;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6058;LA BELLEZA;La Belleza;ORIENTE;Santander;Carrera 4 No 4-82/84;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8646;PORE;Pore;ORIENTE;Casanare;Calle 3 No. 16-82/16/88;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6037;CERRITO;Cerrito;SANTANDERES;Santander;CALLE 8 N° 5-13;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6045;CHIMA;Chima;SANTANDERES;Santander;Calle 5 No.6-01 Parque Central;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6670;VENADILLO;Venadillo;SUR;Tolima;Carrera.4 No 3 - 92;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1382;LA UNION;La Unión;ANTIOQUIA;Antioquia;Calle 10 No.8-54;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3149;NOCAIMA;Nocaima;BOGOTA;Cundinamarca;Carrera 6 No.6-49;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
5122;CHITAGA;Chitagá;SANTANDERES;Norte de Santander;CRA. 6 N° 3-67;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
5125;"GRAMALOTE ""Cúcuta Norte de Santander""";Gramalote;SANTANDERES;Norte de Santander;Manzana 3 Lote 6 Centro Calle Real;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3109;APULO;Apulo;BOGOTA;Cundinamarca;Carrera 4 No. 11-65 Avenida Colombia Barrio Centro;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
3167;SASAIMA;Sasaima;BOGOTA;Cundinamarca;Carrera 4 No. 7-75;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3172;TOPAIPI;Topaipí;BOGOTA;Cundinamarca;Carrera 10 No. 3-30;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
4530;PUERTO LOPEZ;Puerto López;BOGOTA;Meta;Carrera 4 No. 5-16/20 Barrio Abel Rey;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8635;PARATEBUENO;Paratebueno;BOGOTA;Cundinamarca;Calle 2 N° 9 - 15;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2416;CHIMICHAGUA;Chimichagua;COSTA;Cesar;Calle 5 No. 4-02/ 06;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1509;CAMPOHERMOSO;Campohermoso;ORIENTE;Boyacá;Carrera 5 No. 2 – 03/07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1556;PESCA;Pesca;ORIENTE;Boyacá;Carrera 4 No.4-13;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1574;SANTA SOFIA;Santa Sofía;ORIENTE;Boyacá;Calle 4 No.3-07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1582;SUSACON;Susacón;ORIENTE;Boyacá;CALLE 6 No. 3 - 07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6057;JESUS MARIA;Jesús María;ORIENTE;Santander;Carrera 5 # 5-41;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8650;SAN LUIS DE PALENQUE;San Luis De Palenque;ORIENTE;Casanare;CARRERA 7 No. 2-55 Parque Principal - Calle 4 No. 4-06;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6005;RIONEGRO;Rionegro;SANTANDERES;Santander;Carrera 13 No 10-26 Barrio la Gloria;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
230;BOGOTA - CAN;Bogotá, D.C.;BOGOTA;Bogotá D.C;CALLE 44 No 54 - 82;LUNES A VIERNES;9:00 A.M. A 4:00 P.M.;;;;;;;;
3121;VILLETA;Villeta;BOGOTA;Cundinamarca;Carrera 8 No. 4 - 33;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3143;LA PALMA;La Palma;BOGOTA;Cundinamarca;Calle 4 con Carrera 4 esquina;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
3186;VIOTA;Viotá;BOGOTA;Cundinamarca;Calle 20 No.10-33;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4510;CABUYARO;Cabuyaro;BOGOTA;Meta;Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4524;PUERTO GAITAN;Puerto Gaitán;BOGOTA;Meta;Calle 8 No.15-07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4220;EL BANCO;El Banco;COSTA;Magdalena;Calle 6 No.8-51;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1501;AQUITANIA;Aquitania;ORIENTE;Boyacá;Calle 7 No.6-34;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1553;PAEZ;Páez;ORIENTE;Boyacá;Carrera 2 No. 5-04;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1575;SATIVANORTE;Sativanorte;ORIENTE;Boyacá;Carrera 3 No. 7 - 02 / 12;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1583;SUTAMARCHAN;Sutamarchán;ORIENTE;Boyacá;CARRERA 3 No. 4 - 34/46;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6076;SUCRE;Sucre;ORIENTE;santander;CENTRO;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8665;TRINIDAD;Trinidad;ORIENTE;Casanare;CARRERA 4 No 6 -28;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1394;YONDO;Yondó;SANTANDERES;Antioquia;Carrera 55 No.46 B - 44 Antonio Roldan B.;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5115;CHINACOTA;Chinácota;SANTANDERES;Norte de Santander;CALLE 3 No. 3-56 Esquina;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
5180;VILLACARO;Villa Caro;SANTANDERES;Norte de Santander;CALLE 2 N° 5-03 Barrio el centro;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
6016;OIBA;Oiba;SANTANDERES;Santander;Calle 10 No. 7 - 18;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3912;BARAYA;Baraya;SUR;Huila;Calle 2C No.6-64;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1334;ALTAMIRA (Corregimiento del municipio de Betulia - Antioquia);Betulia;ANTIOQUIA;Antioquia;Calle 10 No. 8-02 Local 201;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1390;SANTUARIO;El Santuario;ANTIOQUIA;Antioquia;Cra.50 No.50-35/37;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3110;AGUA DE DIOS;Agua De Dios;BOGOTA;Cundinamarca;Carrera 9 No.14-02/08;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3192;BOGOTA - GOBERNACION DE CUND.;Bogotá, D.C.;BOGOTA;Bogotá D.C;CALLE 26 No.47-73 Edif.Gobernación de Cund.;LUNES A VIERNES;9:00 A.M. A 4:00 P.M.;;;;;;;;
4230;GUAMAL;Guamal;COSTA;Magdalena;Carrera 5 No. 5 - 27;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6055;GUAVATA;Guavatá;ORIENTE;Santander;Carrera 3 No. 4-30 BARRIO COLON;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6056;GUEPSA;Güepsa;ORIENTE;Santander;CRA. 5 N° 3-47;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8645;PAZ DE ARIPORO;Paz De Ariporo;ORIENTE;Casanare;CARRERA 8 No. 10-10 - CALLE 4 No. 10-62;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5152;SALAZAR;Salazar;SANTANDERES;Norte de Santander;CALLE 3 N° 3-59;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
6020;BARRANCABERMEJA;Barrancabermeja;SANTANDERES;Santander;CALLE 49 N° 5-03 Sector Comercial;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6022;SAN VICENTE DE CHUCURI;San Vicente De Chucurí;SANTANDERES;Santander;CRA 10 N° 9-36;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6054;GUADALUPE;Guadalupe;SANTANDERES;Santander;CRA. 4 N° 5-09;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6078;TONA;Tona;SANTANDERES;Santander;Calle 7 N° 3-25;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3960;TELLO;Tello;SUR;Huila;CRA 5 No 4 - 02;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
6607;CAJAMARCA;Cajamarca;SUR;Tolima;Carrera 8 No. 6-56 Parque Principal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
280;BOGOTA - CODABAS;Bogotá, D.C.;BOGOTA;Bogotá D.C;Cra. 7a No. 180-71/75 módulo 1 local 29;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
3133;GUADUAS;Guaduas;BOGOTA;Cundinamarca;Calle 4 No. 4 A - 16;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3190;YACOPI;Yacopí;BOGOTA;Cundinamarca;Carrera 4 No. 9 - 23 / 27 frente al parque principal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7303;ARAUCA;Arauca;BOGOTA;Arauca;Calle 20 N. 20-05;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1243;MOMPOX;Mompós;COSTA;Bolívar;Carrera 2 No.19-01 Palacio Municipal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1516;SOGAMOSO;Sogamoso;ORIENTE;Boyacá;Carrera 11 No.12-99;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1518;CHITA;Chita;ORIENTE;Boyacá;Calle 4 No. 4 - 43;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1550;MIRAFLORES;Miraflores;ORIENTE;Boyacá;Carrera 7 No. 3 - 40;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1567;SABOYA;Saboyá;ORIENTE;Boyacá;CARRERA 10 No. 6 - 45;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6050;FLORIAN;Florián;ORIENTE;Santander;CALLE 4 N°1B-153;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8610;HATO COROZAL;Hato Corozal;ORIENTE;Casanare;Calle 12 No. 8-13;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2435;SAN ALBERTO;San Alberto;SANTANDERES;Cesar;CRA. 2 Nº. 6-54 Esquina Calle 6 No. 3 -20 Parque Principal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5145;RAGONVALIA;Ragonvalia;SANTANDERES;Norte de Santander;Calle 5 No.2-44 Barrio Centro;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
6040;SABANA DE TORRES;Sabana De Torres;SANTANDERES;Santander;CALLE 13 N° 10-44;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6041;CONTRATACION;Contratación;SANTANDERES;Santander;Calle 5 N° 3-20;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6080;EL CARMEN DE CHUCURI;El Carmen De Chucurí;SANTANDERES;Santander;Calle 5 No. 3 - 06;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6081;VILLANUEVA;Villanueva;SANTANDERES;Santander;Cra. 14 No.14-71;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7940;SAN MIGUEL;San Miguel;SUR;Putumayo;Calle 6 No. 4 - 46 - 56 Sector Urbano;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1317;ANZA;Anza;ANTIOQUIA;Antioquia;Calle 10 No.10-24/28 Parque Principal;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1372;COCORNA;Cocorná;ANTIOQUIA;Antioquia;Carrera 21 No 21-13/17;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3117;CAPARRAPI;Caparrapí;BOGOTA;Cundinamarca;Carrera. 4 No. 7-25;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1572;SANTANA;Santana;ORIENTE;Boyacá;Calle 3 No. 4-65 Parque Principal;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1595;ZETAQUIRA;Zetaquira;ORIENTE;Boyacá;CALLE 12 No. 9 - 65 Carrera 3 No.2-06 Parque Principal;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
5121;CACHIRA;Cachirá;SANTANDERES;Norte de Santander;CRA. 7 N° 5-29 Parque Principal;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
5127;HERRAN;Herrán;SANTANDERES;Norte de Santander;AVENIDA 3 N° 3-14 Sector los Balcones;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
5134;LOURDES;Lourdes;SANTANDERES;Norte de Santander;Calle 4 No. 3-46;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
6660;ROVIRA;Rovira;SUR;Tolima;Carrera 2a. No. 1 -78 a 1-99 Barrio Centro - Brisas de Luisa;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1305;ITAGÜI;Itagüi;ANTIOQUIA;Antioquia;CALLE 85 N° 48-01 Bloque 31 Nivel 2;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1331;MEDELLIN ALPUJARRA;Medellín;ANTIOQUIA;Antioquia;Calle 41 No. 53-59;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1365;PUERTO BERRIO;Puerto Berrío;ANTIOQUIA;Antioquia;CALLE 50 N° 5-27/29/31/35;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3111;CABRERA;Cabrera;BOGOTA;Cundinamarca;Carrera. 2 No.5-34;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3159;SAN JUAN DE RIOSECO;San Juan De Río Seco;BOGOTA;Cundinamarca;Carrera 6 No. 4- 40/46;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
